Funder,Policy,Cached,2022,2023,2024,Overall
Government of Italy,https://www.gazzettaufficiale.it/atto/serie_generale/caricaArticolo?art.progressivo=0&art.idArticolo=4&art.versione=1&art.codiceRedazionale=13G00135&art.dataPubblicazioneGazzetta=2013-08-09&art.idGruppo=1&art.idSottoArticolo1=10&art.idSottoArticolo=1&art.flagTipoArticolo=0,/mandates/gov_it-2021-02-13-it.pdf,86%,88%,86%,83%
"Fundação para a Ciência e a Tecnologia, Portugal",https://www.fct.pt/documentos/PoliticaAcessoAberto_Publicacoes.pdf,/mandates/fct_pt-2021-02-13-pt.pdf,79%,82%,82%,77%
UK Engineering and Physical Sciences Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,92%,93%,93%,90%
Swiss National Science Foundation,https://www.snf.ch/SiteCollectionDocuments/snsf-general-implementation-regulations-for-the-funding-regulations-e.pdf,/mandates/snsf_ch-2025-08-24-en.pdf,93%,89%,89%,87%
Canadian Institutes of Health Research,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,/mandates/cihr_ca-2021-02-13-en.pdf,76%,79%,81%,65%
Australian Research Council,https://www.arc.gov.au/sites/default/files/2022-06/Open%20Access%20Policy%20Version%202021.1.pdf,/mandates/arc_au-2021-02-13.pdf,78%,83%,86%,78%
Agence Nationale de la Recherche,https://anr.fr/fileadmin/documents/2021/PA_ANR_2022_-_V1.1_5.pdf,/mandates/anr-fr-2022-onwards-2021-09-04-fr.pdf,93%,93%,92%,91%
"National Institute for Health Research, UK",https://www.nihr.ac.uk/documents/nihr-open-access-policy/28999,/mandates/nihr_uk-2021-10-11.pdf,65%,62%,58%,58%
US National Aeronautics and Space Administration,https://www.nasa.gov/sites/default/files/atoms/files/206985_2015_nasa_plan-for-web.pdf,/mandates/nasa-2021-02-13.pdf,71%,73%,73%,68%
UK Medical Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,80%,70%,65%,84%
"Federal Ministry of Education and Research, Germany",https://www.bmbf.de/SharedDocs/Publikationen/de/bmbf/1/24102_Open_Access_in_Deutschland.pdf?__blob=publicationFile&v=5,/mandates/bmbf_de-2021-02-13-de.pdf,85%,84%,86%,82%
"Council of Scientific and Industrial Research, India",http://www.csircentral.net/mandate.pdf,/mandates/csir_in-2021-02-13.pdf,56%,53%,50%,60%
Wellcome Trust,https://wellcome.org/grant-funding/guidance/open-access-guidance/open-access-policy,/mandates/wellcome_uk-2021-02-13.pdf,80%,80%,79%,74%
Swedish Research Council,https://www.vr.se/english/applying-for-funding/requirements-terms-and-conditions/publishing-open-access.html,/mandates/vr_se-2024-08-24-en.pdf,89%,90%,90%,74%
"National Health and Medical Research Council, Australia",https://www.nhmrc.gov.au/file/18478/download?token=xCagap4H,/mandates/nhmrc_au-2022-09-19.pdf,75%,81%,85%,70%
US Department of Agriculture,https://www.usda.gov/sites/default/files/documents/USDA-Public-Access-Implementation-Plan.pdf,/mandates/usda-2021-02-13.pdf,90%,90%,90%,88%
Research Foundation (Flanders),https://www.fwo.be/en/general-regulations/,/mandates/fwo_be-2021-02-13-en.pdf,81%,82%,82%,66%
Netherlands Organisation for Scientific Research,https://www.nwo.nl/en/open-access-publishing,/mandates/nwo_nl-2021-02-13-en.pdf,96%,96%,96%,94%
Austrian Science Fund,https://www.fwf.ac.at/en/research-funding/open-access-policy/open-access-to-peer-reviewed-publications,/mandates/fwf_at-2021-01-04-en.pdf,93%,94%,94%,89%
"Research Grants Council, Hong Kong",https://www.ugc.edu.hk/doc/eng/rgc/form/DAMA202006.pdf,/mandates/rgc_hk-2021-02-13.pdf,56%,58%,57%,53%
Government of Argentina,https://www.argentina.gob.ar/normativa/nacional/ley-26899-223459/texto,/mandates/gov_ar-2021-10-30-es.pdf,54%,59%,53%,65%
Research Council of Norway,https://www.forskningsradet.no/contentassets/68f87c2b3b8f4ef58d83943f2047081a/publikasjoner-krav-forskningsradet-oppdatert-13.11.2020.pdf,/mandates/rcn_no-2021-01-04-no.pdf,87%,88%,88%,83%
UK Research & Innovation,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,93%,94%,94%,92%
Academy of Finland,https://www.aka.fi/en/research-funding/responsible-science/open-science/academy-policies-on-open-science/open-access-to-scientific-publications/,/mandates/academy_fi-2021-06-01-en.pdf,95%,95%,96%,90%
UK Biotechnology and Biological Sciences Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,76%,66%,59%,83%
"Department of Biotechnology, India",http://www.dst.gov.in/sites/default/files/APPROVED%20OPEN%20ACCESS%20POLICY-DBT%26DST%2812.12.2014%29_1.pdf,/mandates/dbt_in-2021-02-13.pdf,66%,63%,60%,68%
US Department of Veterans Affairs,https://www.research.va.gov/resources/policies/public_access.cfm,/mandates/va-2021-02-13.pdf,71%,71%,70%,68%
"National Science Centre, Poland",https://ncn.gov.pl/sites/default/files/pliki/zarzadzenia-dyrektora/zarzadzenieDyr-38_2020_ang.pdf,/mandates/nsc_pl-2021-02-13-en.pdf,84%,84%,84%,83%
Japan Science and Technology Agency,https://www.jst.go.jp/EN/about/openscience/policy_openscience_en_r4.pdf,/mandates/jst_jp-2022-04-01-en.pdf,78%,79%,78%,74%
Fundação de Amparo à Pesquisa do Estado de São Paulo,https://fapesp.br/12592/anexo-i-politica-para-acesso-aberto-as-publicacoes-resultantes-de-auxilios-e-bolsas-fapesp,/mandates/fapesp_br-2021-10-29-pt.pdf,63%,65%,64%,64%
UK Economic and Social Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,94%,94%,94%,90%
Science Foundation Ireland,https://www.sfi.ie/funding/sfi-policies-and-guidance/open-research/SFIs-Open-Access-Policy-V.3.-04.05.2021.pdf,/mandates/sfi_ie-2021-02-08.pdf,80%,80%,82%,83%
UK Science and Technology Facilities Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,97%,97%,98%,96%
UK Natural Environment Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,94%,94%,95%,93%
Bill & Melinda Gates Foundation,https:://gatesfoundation.org/How-We-Work/General-Information/Open-Access-Policy,/mandates/gates-2021-02-13.pdf,95%,95%,95%,94%
Cancer Research UK,https://www.cancerresearchuk.org/sites/default/files/policy_on_open_access.pdf,/mandates/cancerresearchuk-2021-02-13.pdf,69%,67%,63%,60%
Howard Hughes Medical Institute,https://hhmicdn.blob.core.windows.net/policies/Open-Access-To-Publications-Policy,/mandates/hhmi-2021-02-13-post-2020.pdf,95%,95%,95%,93%
"Social Sciences and Humanities Research Council, Canada",http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,/mandates/sshrc_ca-2021-02-13-en.pdf,59%,62%,66%,51%
"National Institute of Health and Medical Research, France",,/mandates/inserm_fr-2018-01-28-fr.pdf,92%,93%,92%,85%
Scientific and Technological Research Council of Turkey,https://acikveri.ulakbim.gov.tr/wp-content/uploads/2019/03/TUBITAK-Open-Sciency-Policy.pdf,/mandates/tubitak_tr-2021-02-13-en.pdf,1%,1%,1%,1%
"National Research Foundation, South Africa",https://chelsa.ac.za/wp-content/uploads/2018/12/NRF_open_access_-statement_19Jan2015_V6.pdf,/mandates/nrf_za-2021-02-13-en.pdf,50%,55%,56%,50%
"Ministry of Education, Science and Technological Development of the Republic of Serbia",https://open.ac.rs/images/doc/Open-Science-Policy-Serbia.pdf,/mandates/mestd_rs-2021-02-13-en.pdf,82%,85%,86%,83%
Helmholtz Association,https://os.helmholtz.de/en/open-science-in-the-helmholtz-association/eng-open-access/open-access-policies/open-access-policy-of-the-initiative-and-networking-fund-2016/,/mandates/helmholtz_de-2021-02-13-en.pdf,91%,91%,93%,88%
US National Oceanic and Atmospheric Administration,https://www.glerl.noaa.gov/review2016/reviewer_docs/NOAA_PARR_Plan_v5.04.pdf,/mandates/noaa-2021-02-13.pdf,70%,70%,57%,67%
British Heart Foundation,https://www.bhf.org.uk/research/research-grants/managing-your-grant/open-access-policy.aspx,/mandates/bhf_uk-2021-02-13.pdf,68%,67%,60%,57%
Danish Council for Independent Research,https://dff.dk/en/about-us/goals-and-policies/open-access-policy,/mandates/dff_dk-2021-02-13-en.pdf,71%,74%,72%,63%
Fonds de recherche du Québec - Santé,https://frq.gouv.qc.ca/app/uploads/2022/06/politique-libre-acces-revisee_vf.pdf,/mandates/frqs_ca-2022-06-29-fr.pdf,83%,81%,81%,79%
Slovenian Research Agency,https://www.gov.si/assets/ministrstva/MIZS/Dokumenti/ZNANOST/Strategije/National-strategy-of-open-access-to-scientific-publications-and-research-data-in-Slovenia-2015-2020.pdf,/mandates/arrs_si-2021-02-13-en.pdf,88%,89%,89%,84%
American Heart Association,https://professional.heart.org/en/research-programs/aha-research-policies-and-awardee-hub/open-science-policy-statements-for-aha-funded-research,/mandates/aha-2021-02-13.pdf,74%,76%,73%,74%
"National Office for Research, Development and Innovation, Hungary",https://nih.gov.hu/download.php?docID=31469,/mandates/nkfih_hu-2021-02-13-hu.pdf,91%,91%,89%,90%
"National Fund for Scientific Research, Belgium",https://www.frs-fnrs.be/docs/Reglement_OPEN_ACCESS_EN.pdf,/mandates/fnrs_be-2021-02-13-en.pdf,89%,89%,89%,83%
Hungarian Scientific Research Fund,,/mandates/otka_hu-2018-01-28-hu.pdf,90%,92%,91%,83%
Knut and Alice Wallenberg Foundation,https://kaw.wallenberg.org/en/funding-guide/grant-policy,/mandates/kaw_se-2021-02-13-en.pdf,94%,95%,94%,91%
Netherlands Organisation for Health Research and Development,https://www.zonmw.nl/fileadmin/zonmw/documenten/Gezondheidsbescherming/Open_Access/Open_Access_Policy_ZonMw_2021..pdf,/mandates/zonmw_nl-2021-02-13-en.pdf,62%,56%,54%,74%
Indian Council of Agricultural Research,http://eprints.cmfri.org.in/9665/1/Open_Access_Policy_of_ICAR.pdf,/mandates/icar_in-2021-02-13.pdf,70%,69%,63%,73%
"National Research Foundation, Singapore",https://www.nrf.gov.sg/docs/default-source/default-document-library/annex-a---general-template-of-tncs-for-competitive-grants.pdf,/mandates/nrf_sg-2021-03-31.pdf,58%,58%,55%,51%
"Swedish Research Council for Environment, Agricultural Sciences and Spatial Planning",https://www.formas.se/download/18.45054898176f6b353dd3c14/1610549889109/Instructions%20for%20scientific%20publication.pdf,/mandates/formas_se-2021-02-13-en.pdf,94%,94%,94%,87%
"Department of International Development, UK",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/181176/DFIDResearch-Open-and-Enhanced-Access-Policy.pdf,/mandates/dfid_uk-2021-02-13.pdf,93%,94%,93%,93%
"A*Star, Singapore",https://www.a-star.edu.sg/docs/librariesprovider1/default-document-library/research/funding-opportunities/bep-2020/astar-grants-terms-and-conditions-v2-0.pdf,/mandates/astar_sg-2021-02-13.pdf,76%,75%,72%,73%
Royal Society UK,https://royalsociety.org/grants-schemes-awards/grants/about-grants/,/mandates/royal_society_uk-2021-10-03.pdf,91%,92%,92%,91%
Danish National Research Foundation,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,/mandates/dnrf_dk-2021-02-13-en.pdf,88%,90%,90%,82%
US Department of Transportation,https://www.transportation.gov/sites/dot.gov/files/docs/Official%20DOT%20Public%20Access%20Plan%20ver%201.1.pdf,/mandates/dot-2021-02-13.pdf,58%,58%,52%,57%
Hungarian Academy of Sciences,http://real.mtak.hu/eprints/mandate.html,/mandates/mta_hu-2021-02-13-en.pdf,86%,89%,90%,80%
US Department of Education,https://ies.ed.gov/funding/pdf/EDPlanPolicyDevelopmentGuidanceforPublicAccess.pdf,/mandates/used-2021-02-13.pdf,22%,19%,14%,17%
US Agency for International Development,https://www.usaid.gov/sites/default/files/2022-05/USAID_PublicAccessPlan.pdf,/mandates/usaid-2021-02-13.pdf,91%,92%,90%,90%
UK Arts & Humanities Research Council,https://www.ukri.org/wp-content/uploads/2022/07/UKRI-28072022-Final_UKRI-Open-Access-Policy_Version-1.5_July-2022.pdf,/mandates/ukri_uk-2022-12-21.pdf,85%,87%,86%,81%
"Swedish Council for Health, Labor and Welfare",https://forte.se/en/funding/ongoing-grants/open-access/policy-publication-open-access/,/mandates/forte_se-2021-02-13-en.pdf,93%,94%,94%,86%
CGIAR,https://cgspace.cgiar.org/bitstream/handle/10947/4488/Open%20Access%20Data%20Management%20Policy.pdf?sequence=1&isAllowed=y,/mandates/cgiar_int-2021-02-13.pdf,95%,97%,97%,95%
Genome Canada,https://genomecanada.ca/wp-content/uploads/2022/05/gcdatasharingpolicies16-09-23-1.pdf,/mandates/genomecanada_ca-2022-07-11.pdf,85%,84%,87%,71%
Gordon and Betty Moore Foundation,https://www.moore.org/docs/default-source/Grantee-Resources/open-access-policy-2017.pdf,/mandates/moore-2021-02-13.pdf,94%,95%,92%,94%
Volkswagen Foundation,https://www.volkswagenstiftung.de/sites/default/files/downloads/funding_principles_2014.pdf,/mandates/volkswagen_de-2021-02-13-en.pdf,77%,79%,82%,72%
State of Califonia,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201720180AB2192&version=20170AB219293CHP,/mandates/state_ca-2021-02-13.pdf,91%,90%,89%,89%
Villum Foundation,https://veluxfoundations.dk/en/open-acces-engelsk,/mandates/villum_dk-2021-02-13-en.pdf,86%,86%,86%,82%
US Institute of Education Sciences,https://ies.ed.gov/funding/researchaccess.asp,/mandates/ies-2021-02-13.pdf,61%,54%,34%,44%
Irish Research Council,https://research.ie/assets/uploads/2017/05/IRC_Open_Access_Policy_Final.pdf,/mandates/irc_ie_2021-02-13.pdf,87%,89%,89%,82%
Fraunhofer-Gesellschaft,https://www.fraunhofer.de/content/dam/zv/en/documents/OpenAccessPolicy_tcm63-828.pdf,/mandates/fraunhofer_de-2021-02-13-en.pdf,77%,76%,78%,70%
Human Frontier Science Program,https://www.hfsp.org/sites/default/files/HFSP-OA-04042014_3.pdf,/mandates/hfsp_int-2021-10-23.pdf,92%,95%,95%,92%
Innovation Fund Denmark,https://innovationsfonden.dk/sites/default/files/2019-02/gs19_open-access-policy-for-public-research-councils-and-foundations.pdf,/mandates/innovation_dk-2021-02-13-en.pdf,83%,86%,83%,80%
Heart and Stroke Foundation of Canada,https://www.heartandstroke.ca/-/media/research/docs/heart--stroke--open-access-to-research-outputs-policy--guidelines.ashx?rev=d2ab8ccd46e8414485b435eca99939c6,/mandates/hsf_ca-2021-02-13-en.pdf,79%,82%,83%,76%
Fonds de recherche du Québec - Nature et technologies,https://frq.gouv.qc.ca/app/uploads/2022/06/politique-libre-acces-revisee_vf.pdf,/mandates/frqnt_ca-2022-06-29-fr.pdf,77%,75%,75%,76%
"National Medical Research Council, Singapore",https://www.nmrc.gov.sg/docs/default-source/policies-and-guidelines-library/nmrc-research-grant-terms-and-conditions55c115a14a90471a8c38c925765fe8df.pdf,/mandates/nmrc_sg-2021-02-13.pdf,71%,70%,65%,64%
AIRC Foundation for Cancer Research in Italy,https://www.direzionescientifica.airc.it/wp-content/uploads/2020/01/Open_access_statement_En.pdf,/mandates/airc_it-2021-02-13-en.pdf,91%,92%,90%,90%
"Versus Arthritis, UK",https://www.versusarthritis.org/research/information-for-researchers/information-for-research-award-holders/open-access-and-travel-support/,/mandates/versus_arthritis_uk-2021-02-13.pdf,67%,69%,65%,57%
World Health Organization,https://www.who.int/about/policies/publishing/open-access,/mandates/who-2021-02-13.pdf,61%,59%,56%,72%
"Banking Foundation ""la Caixa""",87%,88%,89%,85%
Patient-Centered Outcomes Research Institute,https://www.pcori.org/sites/default/files/PCORI-Policy-Public-Access-to-Journal-Articles-Presenting-Findings-from-PCORI-funded-Research.pdf,/mandates/pcori-2021-02-13.pdf,62%,60%,59%,59%
Belgian Science Policy Office,https://www.belspo.be/belspo/openscience/POLICY/StratOA20171220_Combo_en.pdf,/mandates/belspo_be-2021-10-31.pdf,83%,84%,84%,81%
Dutch Cancer Society,https://www.kwf.nl/onderzoek/financieringsinformatie/open-access,/mandates/kwf_nl-2021-02-13-nl.pdf,97%,96%,97%,94%
"International Development Research Centre, Canada",https://www.idrc.ca/en/open-access-policy-idrc-funded-project-outputs,/mandates/idrc_ca-2021-02-13-en.pdf,87%,88%,87%,88%
John D. and Catherine T. MacArthur Foundation,https://www.macfound.org/about/our-policies/intellectual-property/,/mandates/macfound-2021-02-13.pdf,88%,88%,88%,85%
Swiss Cancer League,https://www.krebsforschung.ch/forschungsfoerderung/wie-reiche-ich-ein-forschungsgesuch-ein/-dl-/fileadmin/downloads/forschungsfoerderung/information-sheet-grants-KFS.pdf,/mandates/scl_ch-2021-02-13-en.pdf,88%,87%,87%,80%
"Health Research Board, Ireland",https://www.hrb.ie/fileadmin/1._Non-plugin_related_files/RSF_files/Policies_and_principles/Grant_Policies/HRB_Policy_on_Open_Access.pdf,/mandates/hrb_ie-2021-02-13.pdf,92%,92%,90%,87%
Fondazione Cariplo,http://www.fondazionecariplo.it/static/upload/pol/policy_open_access_en.pdf,/mandates/carpilo_it-2021-02-13-en.pdf,91%,92%,89%,84%
"Vinnova, Sweden",https://www.vinnova.se/globalassets/huvudsajt/sok-finansiering/regler-och-villkor/dokument/anvisning-for-oppen-tillgang-till-vetenskapliga-publikationer.pdf,/mandates/vinnova_se-2022-07-02-sv.pdf,87%,86%,86%,86%
Research Council of Lithuania,https://www.e-tar.lt/rs/legalact/dceeeb10e05711e59cc8b27b54efaf6e/format/ISO_PDF/,/mandates/lmt_lt-2021-02-13-lt.pdf,79%,81%,79%,76%
"Cancer Prevention Research Institute of Texas, USA",https://www.cprit.state.tx.us/media/2030/policy_and_procedure_guide_062019.pdf,/mandates/cprit_us-2021-08-14.pdf,75%,80%,76%,76%
Leibniz Association,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,/mandates/leibniz_de-2021-02-13.pdf,93%,92%,96%,88%
Chan Zuckerberg Initiative,https://apply.chanzuckerberg.com/protected/r/FkmBTc_C-GJ6iD28zx8OmOsdaPy2PuBOoop6XVdBjVQXJiEN1YUV0x9rvIPadde10QzxP_FbLnqIAxfA9EfpPQ==/CZI_Grant_Policies_-_EOSS-6.pdf,/mandates/czi_us-2023-08-22.pdf,85%,85%,85%,84%
Juvenile Diabetes Research Foundation,https://grantcenter.jdrf.org/information-for-awardees/admin-resources/,/mandates/jdrf_us-2021-02-13.pdf,63%,66%,61%,63%
"Fondazione Telethon, Italy",https://www.telethon.it/en/what-we-do/supporting-research-and-patients/supporting-research/open-access/open-access-policy/,/mandates/telethon_it-2021-02-13-en.pdf,69%,66%,60%,58%
Canada First Research Excellence Fund,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,/mandates/canada_first_ca-2021-02-13-en.pdf,68%,73%,80%,69%
Finnish Funding Agency for Innovation,,/mandates/tekes_fi-2018-01-28-fi.pdf,94%,92%,96%,76%
"Chief Scientist Office, Scottish Executive",https://www.cso.scot.nhs.uk/outputs/cso-open-access-policy/,/mandates/cso_uk-2022-04-17.pdf,68%,61%,54%,46%
Luxembourg National Research Fund,https://storage.fnr.lu/index.php/s/bfSqYc8bLBAJrjz/download,/mandates/fnr_lu-2021-02-13-post-2021-en.pdf,93%,91%,91%,89%
Ministry of Business Innovation and Employment,https://www.mbie.govt.nz/dmsdocument/25644-mbie-open-research-policy,/mandates/mbie_nz-2022-11-23.pdf,-,75%,80%,79%
Business Finland,https://avointiede.fi/sites/default/files/2020-03/openaccess2019.pdf,/mandates/business_fi_2021-10-26-en.pdf,93%,92%,91%,91%
Dutch Heart Foundation,https://professionals.hartstichting.nl/onze-missie/goed-onderzoek/data-en-infrastructuur/open-acces,/mandates/dhf_nl-2021-02-13-nl.pdf,97%,98%,97%,95%
Doris Duke Charitable Foundation,https://www.ddcf.org/siteassets/funding-areas/medical-research/documents/ddcf-med-research-policies-guidelines.pdf,/mandates/doris_duke_found_2022_12_21.pdf,72%,76%,77%,71%
Robert Wood Johnson Foundation,https://www.rwjf.org/en/about-rwjf/our-policies/policy-for-open-access.html,/mandates/rwjf-2021-02-13.pdf,87%,87%,86%,84%
Michael J Fox Foundation,https://www.michaeljfox.org/sites/default/files/media/document/MJFF%20Open%20Access%20Publication%20Policy_0.pdf,/mandates/mjff-2021-02-13.pdf,90%,91%,92%,89%
European Molecular Biology Laboratory,https://www.embl.org/about/info/szilard-library/wp-content/uploads/2020/10/IP-66-EMBL-Open-Access-Policy.pdf,/mandates/embl_de-2021-02-13-en.pdf,71%,68%,66%,67%
Danish Council for Strategic Research,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,/mandates/dsf_dk-2021-02-13-en.pdf,79%,80%,81%,57%
Ford Foundation,https://www.fordfoundation.org/the-latest/news/ford-foundation-expands-creative-commons-licensing-for-all-grant-funded-projects/,/mandates/ford-2021-02-13.pdf,82%,81%,77%,79%
Canadian Cancer Society,https://cancer.ca/en/research/for-researchers/managing-your-grant/open-access-policy,/mandates/ccs_ca-2021-02-13.pdf,78%,80%,87%,80%
Carlsberg Foundation DK,https://www.carlsbergfondet.dk/en/Grant-holder/Politikker/Open-Access-policy,/mandates/carlsberg_foundation_dk-2021-10-03.pdf,71%,70%,69%,67%
"Leducq Foundation, USA",https://www.fondationleducq.org/wp-content/uploads/2016/06/Leducq-Research-Agreement-2016-A4.pdf,/mandates/leducq_us-2021-08-20.pdf,70%,69%,66%,66%
Royal Netherlands Academy of Arts and Sciences,https://storage.knaw.nl/2022-06/open-access-and-digital-preservation-eng.pdf,/mandates/knaw_nl-2022-07-11-en.pdf,71%,69%,68%,58%
Polish National Agency for Academic Exchange,https://nawa.gov.pl/images/Ulam/Ulam_2021/5-Regulamin-EN.pdf,/mandates/nawa_pl-2021-11-06-en.pdf,87%,83%,84%,83%
"Medical Research Future Fund, Australia",https://business.gov.au/-/media/grants-and-programs/mrff-atsmb/mrff-atsmb-grant-opportunity-guidelines-pdf.ashx,/mandates/mrff_au-2021-11-06.pdf,82%,87%,89%,85%
Alzheimers's UK,https://www.alzheimers.org.uk/sites/default/files/2020-10/AS_open-access-policy.pdf,/mandates/alzheimer_uk-2021-02-13.pdf,66%,65%,64%,63%
Icelandic Centre for Research,https://en.rannis.is/activities/open-access/,/mandates/rannis_is-2021-02-13-en.pdf,82%,84%,81%,80%
Michael Smith Foundation for Health Research,https://www.msfhr.org/wp-content/uploads/2021/06/2022_Scholar_Conditions_of_Award.pdf,/mandates/msf_ca_2022-07-11.pdf,83%,83%,86%,81%
Susan G. Komen,https://www.komen.org/uploadedFiles/Content/ResearchGrants/GrantPrograms/FY14%20Grant%20Policies%20Procedures.pdf,/mandates/susan_komen_found_us-2022-07-22.pdf,77%,75%,72%,73%
Bank of Sweden Tercentenary Foundation,https://www.rj.se/en/about-rj2/work-methods/policy-for-open-access/research-results/,/mandates/rj_se-2022-22-12-en.pdf,91%,91%,93%,82%
Arnold Ventures LLC,,/mandates/arnold_ventures_us-2021-02-13.pdf,82%,71%,72%,76%
US Office of the Director of National Intelligence,https://www.iarpa.gov/images/pdfs/ODNI_Public_Access_Plan_Sept_2016.pdf,/mandates/odni-2021-02-13.pdf,62%,62%,59%,56%
Danish Council for Technology and Innovation,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,/mandates/dcti_dk-2021-02-13-en.pdf,83%,81%,84%,57%
Fonds de recherche du Quebec Societe et culture,https://frq.gouv.qc.ca/app/uploads/2022/06/politique-libre-acces-revisee_vf.pdf,/mandates/frqsc_ca-2022-06-29-fr.pdf,77%,71%,70%,73%
Wellcome Trust/DBT India Alliance,https://indiaalliance.org/applicants/award-conditions,/mandates/wellcome-dbt_uk-2022-07-12.pdf,67%,67%,60%,64%
"Higher Education Authority, Ireland",https://enterprise.gov.ie/en/Publications/Publication-files/National-Framework-on-the-Transition-to-an-Open-Research-Environment.pdf,/mandates/hea_ie-2021-10-26.pdf,92%,90%,91%,81%
Nordforsk,https://www.nordforsk.org/sites/default/files/documents/2020/Standard%20Terms%20and%20Conditions.pdf,/mandates/nordforsk_int-2021-10-24.pdf,86%,88%,89%,84%
"Autism Speaks Inc, USA",https://www.autismspeaks.org/sites/default/files/2018-09/treatment-grant-request-for-applications.pdf,/mandates/autismspeaks_us-2021-02-13.pdf,66%,68%,64%,63%
"Department of Agriculture, Food and the Marine, Ireland",https://assets.gov.ie/118822/f83a8ab4-dd0d-4f0e-940f-ecb2700a6759.pdf,/mandates/dafm_ie_2021_02_13.pdf,61%,63%,52%,57%
Hewlett Foundation,https://www.hewlett.org/helping-good-ideas-go-further/,/mandates/hewlett-2021-02-13.pdf,89%,92%,92%,90%
US Administration for Community Living,https://www.acl.gov/sites/default/files/about-acl/2017-06/ACL-PublicAcccessPlan-UpdatedJune2017.pdf,/mandates/acl-2021-02-13.pdf,48%,46%,47%,40%
Parkinson's UK,https://www.parkinsons.org.uk/sites/default/files/2020-11/Open%20Access%20policy%20and%20FAQs%20November%202020%20%281%29.pdf,/mandates/parkinsons_uk-2021-02-13.pdf,71%,67%,67%,60%
